"","title","price","floor_area","location","agency","image_url"
"1","Top 2.3 Eindrucksvoller Wohnraum für Freidenker",1600000,326,"1030","Birnleitner Immobilien GmbH.","https://cache.willhaben.at/mmo/8/276/323/988_519234285_hoved.jpg"
"2","Maisonette Wohnung mit Blick auf Belvedere, Designeinrichtung!",649000,197,"1030","ImmoTrading GmbH","https://cache.willhaben.at/mmo/4/291/982/914_-1106117926_hoved.jpg"
"3","Großzügige 3 Zimmerwohnung inmitten des 3. Gemeindebezirks.",849000,117,"1030","JP Immobilien","https://cache.willhaben.at/mmo/0/314/516/940_1936394283_hoved.jpg"
"4","Aus Wohnraum wird Wohntraum - Altbau im Dritten",435000,162,"1030","Wohnen & Wert Realitätenvermittlung GmbH","https://cache.willhaben.at/mmo/5/380/542/995_1212665169_hoved.jpg"
"5","Tom völlig losgelöst von der Erde",639000.41,87,"1030","rooming rebels","https://cache.willhaben.at/mmo/9/374/013/519_531881696_hoved.jpg"
"6","** FÜR FAMILIEN MIT GROSSEN ANSPRÜCHEN ** EXZELLENT GEPLANTE 3 ZIMMET DACHGESCHOSS - MAISONETTE IM BELIEBTEN BEZIRK LANDSTRASSE **",752560,108,"1030","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/9/380/490/319_-780932643_hoved.jpg"
"7","TrIIIple - Wohnen hoch über Wien",582690,85,"1030","OTTO IMMOBILIEN GRUPPE","https://cache.willhaben.at/mmo/9/292/563/229_-1231426857_hoved.jpg"
"8","TrIIIple - Wohnen hoch über Wien",345000,69,"1030","OTTO IMMOBILIEN GRUPPE","https://cache.willhaben.at/mmo/6/292/563/166_-1231426857_hoved.jpg"
"9","DIREKT VON PRIVAT: Sehr gute Lage - Wohnung Nähe Schloss Belvedere",798000,79,"1030","","https://cache.willhaben.at/mmo/9/378/905/169_-2077825628_hoved.jpg"
"10","FASANVIERTEL: NEUE DG-WOHNUNG MIT BLICK BIS STEPHANSDOM: 5 ZIMMER, GROSSE TERRASSE",1133000,166,"1030","gb-direkt Finanzberatung & Immobilienhandel GmbH","https://cache.willhaben.at/mmo/2/196/099/702_330432693_hoved.jpg"
"11","Am Modenapark Bauteil C2",-1,106,"1030","JP Immobilien","https://cache.willhaben.at/mmo/3/247/348/003_726725946_hoved.jpg"
"12","Wiener Chic - Lebensart und Eleganz",279000,218,"1030","IMMO.CONSULT-ZEHNZEHN GmbH","https://cache.willhaben.at/mmo/7/350/278/237_1034743067_hoved.jpg"
"13","TraumWohnung im Herzen von Wien!",289500,54,"1030","IMMOSKY Skylead Real GmbH - Wien","https://cache.willhaben.at/mmo/1/380/384/391_-1758856321_hoved.jpg"
"14","WOHNTRAUM | SONNIGE 2-ZIMMERWOHNUNG MIT LOGGIA UND WEITBLICK",309500,44,"1030","Mister Immo GmbH","https://cache.willhaben.at/mmo/6/380/382/446_1559163014_hoved.jpg"
